lng,lat,v
105.22,29.5,12
108.07,30.71,1
106.21,24.16,8
105.02,31.85,7
119.77,33.83,1
118.96,33.53,1
112.16,30.92,3
115.49,4.97,6
107.51,27.17,2
121.05,31.07,80
105.43,29.5,1
126.75,42.95,22
121.19,31.07,1
112.96,35.72,3
120.56,27.52,4
116.28,30.09,1
36.57,36.24,1
110.8,28.94,1
114.1,30.33,1
112.41,25.67,4
123.65,41.88,1
117.67,40.05,6
126.19,42.95,1
115.59,36.76,3
120.35,27.52,8
129.61,49.27,1
115.29,33.14,1
123.86,41.88,19
115.22,33.14,3
112.2,25.67,12
120.42,27.52,45
107.57,24.14,1
105.99,-5.92,13
115.38,36.76,2
105.08,29.5,68
105.55,21.24,1
109.26,22.72,6
114.66,30.33,2
113.82,30.43,1
14.15,42.36,3
133.33,45.71,15
127.96,46.41,1
81.21,40.39,1
111.35,27.32,2
113.75,30.43,21
40.67,-14.6,1
127.47,45.74,54
113.04,38.11,2
113.37,23.31,26
-74.36,4.34,2
108.68,34.1,7
118.26,33.53,2
118.19,33.53,1
115.64,33.14,13
76.93,11.92,1
115.72,28.05,3
117.04,40.05,2
121.48,30.91,89
113.23,23.31,24
121.41,30.91,27
109.72,40.67,20
110.68,23.05,2
105.26,27.87,15
109.79,40.67,84
118.4,33.53,1
122.4,37.14,14
126.43,48.32,1
106.52,29.33,11
114.28,32.96,2
108.99,22.26,2
119,33.83,1
10.04,53.68,1
121.27,30.91,1
118.52,29.91,1
105.33,27.87,1
112.79,30.92,1
110.4,24.39,2
80.07,12.89,1
121.33,31.07,88
109.92,39.29,1
105.89,27.87,2
113.46,38.11,1
109.81,38.71,2
119.28,33.83,1
121.25,41.39,1
113.39,38.11,11
107.13,31.53,7
118.66,34.16,4
114.35,32.96,5
114.7,32.96,2
112.51,30.92,1
108.5,22.26,1
108.17,24.07,1
121.54,31.07,25
99.12,10.59,4
104.74,30.51,1
127.37,44.68,1
125.45,42.7,2
108.03,24.07,11
121.68,31.07,14
110.19,23.05,4
121.47,41.38,4
114.56,32.96,1
121.69,30.91,2
122.45,41.38,1
127.09,44.68,6
110.18,22.99,1
117,24.84,18
-99.17,18.89,1
36.58,28.39,2
120.96,24.73,1
118.27,28.26,5
113.57,22.37,28
90.37,23.73,38
72.22,25.84,2
113.43,22.37,146
118.15,30.48,3
104.51,24.96,6
108.12,34.1,2
114.06,38.35,6
125.45,46.4,2
118.48,28.26,1
